Id,David2
Test type,Romberg
Duration,20

Test,1,2,3,4,
TP,2.2168087167070345,1.4055807365439084,-1.0,2.666603144354462,
Area,774.9103649755814,567.7195293916028,327.49196382959036,330.12099965375614,
Curvelength,null,null,null,null,
Curvelength X,244.76618934282504,258.9956205161577,195.92098411578806,228.06441305265858,
Curvelength Y,284.82908192222817,322.64264560267156,233.65265794529944,294.9387502669043,
Time 1, X 1, Y 1Time 2, X 2, Y 2Time 3, X 3, Y 3Time 4, X 4, Y 4
0.0,10.549638576333683,-25.130968033306743,0.0,-14.044378643530376,29.685586095038385,0.0,0.12350426003455794,1.4983271458121692,0.0,-0.3012059312468711,6.441121077884947,
0.017,10.730214408722793,-24.56207994424038,0.003,-14.359668994023039,25.245105850308097,0.019,-0.2734598387074625,1.4983271458121692,0.019,-0.19898739363616613,6.441121077884947,
0.038,10.799981590516085,-24.56207994424038,0.024,-14.45686034232525,25.245105850308097,0.019,-0.2734598387074625,1.4879737861770437,0.019,-0.19898739363616613,6.51791231871621,
0.038,10.799981590516085,-24.199333970922204,0.024,-14.45686034232525,21.475012214095727,0.029,-0.6080533558194015,1.2817895805438297,0.04,-0.17867612431754054,6.51791231871621,
0.048,11.056797157185956,-24.199333970922204,0.034,-14.355298996247512,21.475012214095727,0.049,-1.030136027244363,1.2817895805438297,0.04,-0.17867612431754054,6.632667238546826,
0.048,11.056797157185956,-23.704917835880316,0.034,-14.355298996247512,18.448646389391257,0.049,-1.030136027244363,1.1885703688528437,0.05,-0.19388381862285797,6.588911277122687,
0.068,11.234940274621374,-23.704917835880316,0.054,-14.110781557079184,18.448646389391257,0.059,-1.1774388100377715,1.1885703688528437,0.07,-0.009748940693054209,6.588911277122687,
0.068,11.234940274621374,-22.884882670759772,0.054,-14.110781557079184,16.975023995681,0.059,-1.1774388100377715,1.4253842143209852,0.07,-0.009748940693054209,6.507635292587199,
0.078,11.441118162324438,-22.884882670759772,0.064,-13.756997004052828,16.280428141640623,0.069,-1.2799920454673517,1.4253842143209852,0.08,-0.00903789311870895,6.507635292587199,
0.078,11.441118162324438,-22.604355626480086,0.084,-12.82772884016663,16.280428141640623,0.069,-1.2799920454673517,1.019033863179736,0.08,-0.00903789311870895,6.3573803582494115,
0.098,11.589186132950358,-22.192168728542725,0.084,-12.82772884016663,15.593914628472408,0.079,-1.6080897712540319,1.0345831435522257,0.1,-0.1230876695850327,6.3573803582494115,
0.11,11.637752268721231,-22.192168728542725,0.106,-11.76361131195246,15.593914628472408,0.1,-1.6460880959572997,0.9067298547650537,0.1,-0.1230876695850327,6.085303061711318,
0.11,11.637752268721231,-21.563690802042366,0.106,-11.76361131195246,15.306990742290788,0.11,-1.9548540488873298,0.9067298547650537,0.12,-0.2980142302432842,6.085303061711318,
0.13,11.760190084085972,-21.563690802042366,0.116,-10.580703099488506,15.306990742290788,0.11,-1.9548540488873298,0.7512175163130692,0.12,-0.2980142302432842,6.338052597881539,
0.13,11.760190084085972,-21.071276703823763,0.116,-10.580703099488506,14.48674682846101,0.13,-2.057997937040233,0.7512175163130692,0.13,-0.48878730334222986,6.338052597881539,
0.15,11.970736224113514,-21.071276703823763,0.136,-9.249697207089394,13.625540051026075,0.13,-2.057997937040233,0.3011873653806987,0.13,-0.48878730334222986,5.790019171040939,
0.15,11.970736224113514,-20.41030257130435,0.146,-7.945303358348316,13.625540051026075,0.14,-2.52509549756214,0.07150309097040264,0.151,-0.7269614186697506,5.664010415936062,
0.16,11.982392625288673,-20.41030257130435,0.146,-7.945303358348316,13.188936079151663,0.16,-2.780062182380084,0.017337769643297918,0.161,-1.1825616316585403,5.664010415936062,
0.16,11.982392625288673,-19.87467922979861,0.167,-6.587489254730446,13.188936079151663,0.18,-3.0314202563364074,0.017337769643297918,0.161,-1.1825616316585403,5.376406589946772,
0.181,11.944405256164826,-19.87467922979861,0.167,-6.587489254730446,12.525210409803375,0.18,-3.0314202563364074,-0.2487715214816646,0.181,-1.5713898210057966,5.376406589946772,
0.181,11.944405256164826,-19.307029485939495,0.177,-5.437249053444663,12.525210409803375,0.19,-3.5231883015157255,-0.2487715214816646,0.181,-1.5713898210057966,5.33759076521584,
0.191,12.07805540494786,-19.307029485939495,0.177,-5.437249053444663,12.43579074096877,0.19,-3.5231883015157255,-0.3357612339703806,0.191,-1.7311911989706985,5.0200896683746095,
0.191,12.07805540494786,-18.42227389970266,0.198,-4.452947937420959,12.43579074096877,0.21,-3.722185166123751,-0.3357612339703806,0.212,-2.0178674273304473,5.0200896683746095,
0.211,11.90847596105184,-18.42227389970266,0.198,-4.452947937420959,12.178345765518888,0.21,-3.722185166123751,-0.7130037067981831,0.212,-2.0178674273304473,5.449656726215192,
0.211,11.90847596105184,-17.41894532497229,0.218,-3.50564674390914,12.069960577073699,0.22,-3.8869706113274383,-1.1710016594213073,0.231,-2.1386338677042778,5.449656726215192,
0.231,11.792858726038949,-16.17258554410126,0.228,-2.911393785169534,12.069960577073699,0.241,-4.145718270645199,-1.1710016594213073,0.231,-2.1386338677042778,5.252907823910313,
0.241,11.854800952715154,-16.17258554410126,0.228,-2.911393785169534,11.831580560239631,0.241,-4.145718270645199,-1.2665085759527983,0.242,-2.381029565732395,5.330945966003508,
0.241,11.854800952715154,-15.125443312747032,0.248,-2.5403491004842857,11.831580560239631,0.261,-4.350604220025048,-1.2147642545660702,0.262,-2.4687200861874707,5.330945966003508,
